text,true_label,pred_label,probability
dont even entertain hoe got somebody important,1,1,0.9361944499590982
hell taught fuck bitch toot,1,1,0.9991307098789316
rt andrewtylerdick zwhite run wildcat let romo run deep post murray bomb bitch tony,1,1,0.796056550327334
switcheroo yo main hoe hell naw nigggas dont save hoe,1,1,0.9978867427981827
ill walk away money leave tip bitch,1,1,0.9132144062427997
bitch dont turn crash,1,1,0.9750147109033555
hate hoe try lead u naw like lil bitch im coool,1,1,0.9966823324937207
acaciabrinley crusty hoe,1,1,0.9999996084828259
bitch lot coo,1,1,0.9985686516170206
rt nflmemes buckwheat porky httptcobonelsp,0,0,0.3401154713335261
liberty justice rt thatangrynigga go get sandwich nigger ill kill,1,1,0.8884309044244951
rt lebronvuitton fuck feed jaykelz hate fat thick bitch,1,1,0.9899083237048194
rt brianndominguez gasoline daddy yankee,0,0,0.01115128450827224
rich light skin coon expected,0,0,0.4787237493002491
wept thurmanmunson died weep year later captain yankee,0,0,0.038679925438086425
im retarded keep answering house phone know aint l,1,1,0.9256322664789823
kaayyllee bitch,1,1,0.9999999999997478
yall dont want nigga unless bitch want get get mad cuz bitch still want,1,1,0.9973110698099955
rt laydeesweets exactly amp miss bitch vivalajuicyy,1,1,0.9441601875798753
rt tittyflex lol dont need halloween dress like ho know everyday another opportunity,1,1,0.5269442216475367
think bad bitch meaner,1,1,0.9987299622030292
trust say shouldnt trust tweet bae bruh real quick hoe drop nigga real quick,1,1,0.9576980569014455
whats faggot bet yall thought youd seen last,1,1,0.9182356879666554
rt ispeaksarcasms nigga expect pull ask hoe httptcokmnerre,1,1,0.9976076836185691
dumb berk drive circle town bright yellow cycle music blaring incredibly httptcoukothlmoh,0,0,0.13618118074334457
rt willmcavoyacn ad haitian charity water life mock people use firstworldproblems hashtag juxtaposition,0,0,0.07835817458754984
rt sportscenter derek jeter leaf baseball one greatest yankee ever via espnmag httptcomsuwxctyx,0,0,0.010129206750251042
bonnoxxx u smokin bitch,1,1,0.9403681858258998
rt julioisurdaddy need man pussy boy,1,1,0.981142070325662
hillary dodobird dems candidate take obamas job u prez dog httptcowflzyxmvk via worldnetdaily,0,0,0.125097528717574
idk yall love thirsty bitch atleast afraid peruse nigga,1,1,0.9859237655370234
ive pretty paranoid cooling weather bringing abundance bird austin nyc philadelphia,0,0,0.035267777266835144
hokis pokis bitch,1,1,0.9999999999997478
dont think woman wear flesh tone colored pant lol,0,0,0.2320107897809885
rt joebudden chillin w couple hoe like hoe like nigga dont act like hoe,1,1,0.9977635538023113
jcash voiceofdstreetz knowing picture hoe head good knocked wind boy,1,1,0.7930173515694635
rt yankee expecting anything short firework final homestand farewellcaptain httptcontacrqm,0,0,0.03604158583846123
rt taysymonee inkkofrosess hoe icy,1,1,0.9792644841100783
kangaruthie people complain price im like bitch look like make rule,1,1,0.9310949832329496
hoe shallow shiesty trifling knew,1,1,0.9876490267477511
trutherbot look like bitch elcapacitor,1,1,0.9958329207663664
rt shescreamsmami hoe aint loyal,1,1,0.9904304416451833
notevanlarkin hope love dat bitch,1,1,0.988045041501626
vinnyywright dont care catch hoe,1,1,0.9610265015954611
omg bitch said shit,1,1,0.9953616105928439
view gon instagram picture title whilebrace yaself nigs,1,1,0.5681026123091125
happy hangover bloomington btown iubb iu indiana hoosierdaddy hoosiernation hoosier resurrection complete ncaa big,0,0,0.04155952338951785
izthatxp xdsmooth lmao denote got bitch right love,1,1,0.9814453944072118
gallinofmilk fight hoe,1,1,0.9952991246484335
someone get cheese cracker,0,0,0.23258745619836732
lmao blackbeauty rt sbabylife pound cake look like pussy httptcoufywccxci,1,1,0.8845569382961829
rt xdsmooth izthatxp bookieg lmao niggah twitter kenosha bitch cant trained like florida bitch,1,1,0.9995452191685381
rt jerseywolfgod dont want pussy make want pay bill sleep sunday morning away dont ruin life,1,1,0.862287048789484
rt pgammo run differentialsmets yankee,0,0,0.004941384019504097
watch stop talking ampamp bitch still tweet,1,1,0.9628154940397156
ever seen fine eskimo bitchim google image looking,1,0,0.3458798769664212
rap bitch prolly scared remy lol,1,1,0.9737939340098315
someone think hoe saying cause either wanna one one,1,1,0.9239310981486664
nfc south trash juice,0,0,0.05797274998674421
drmalvo like back dare free fo cause whitey pay da fee,1,1,0.661755823473526
rt emmgoldla lot ppl look like fuck bitch think m goldschmied,1,1,0.9880279622495873
rt murdcr sorryimalex dollskill buy girl stuff twink as bitch,1,1,0.8725341610173882
know dat white bitch da black cock yo uptight white asshole want,1,1,0.9970769424877733
rt tmoneypresa bae sings aint nun cut bitch much enthusiasm httptcocnvtrkda,1,1,0.9572362951258434
yaremisxo way hoe boo,1,1,0.9195328651366494
rt bambamst stblocjeremiah ima beat yo lil young as quick plyin hoe,1,1,0.97399639909071
rt mynameisarii boat hoe,1,1,0.8743373600272482
got ur bitch tip toeing marble floor,1,1,0.9655723592974826
got badass bitch bouncin dick jordyxrivera,1,1,0.9983899079133034
rt jakeburnsmfc staycoolwheels bloggerboxing hillbilly like sport,0,0,0.14525437915407066
woohdakidd already kno nicca,1,0,0.38245715756837534
rt peterose day yankee joe dimaggio go walk v cleveland indian end game hitting streak,0,0,0.054609440327538
shvkxir rickiroma baesongz jayzoverrated ahmed retard mikey special olympic boxing,1,0,0.4165675206122068
waymoflydenu tax fraud bet dare tweet voting bitchall tweeting dont politics,1,0,0.2532501795703914
irish california white trash,1,1,0.5539788556246087
zhugstubble naw nigga whats em hand happened shit talking couple month ago eat bitch,1,1,0.994369341207283
nexusaltase fuck right pussy,1,1,0.9960288262142187
nigga excited bitch weird boy,1,1,0.9953293857038312
jasonjwilde th incompletion slant looked like better option shame there youth amp lack trust going,0,0,0.4230245752222425
pussy get,1,1,0.9898255078704902
ion kno im tonitei jus kno gon end wit dick first pussy,1,1,0.9581231555034085
ebola sound like hood hoe,1,1,0.904154415343735
rt erybdyhatesriss ive made hoe second guess lol,1,1,0.9282393062414188
rt tupactopus bad bitch get free night weenie hut jr,1,1,0.9547412101320262
rt tweettully great regular season ball bird,0,0,0.027924776133554072
rt kenaiviveros ima bitch lol versharky,1,1,0.9960422475143352
heatherelisep plus trash talk know especially ole miss,0,0,0.08279716500321947
using fufu bitch,1,1,0.9988182670090643
semievolved monkey desperately searching validation meaning life bbqd youd ok mango salsa,0,0,0.14089781420318231
tf make account another bitch like wanna anotha bitch dat bad lmfaooo fat as hoe,1,1,0.999448972313489
brendacoyt ahah chill bitch look better,1,1,0.9596714053570871
bitch kill yoself go bathroom eat pill bitch em,1,1,0.997515360801628
call bitch makennam,1,1,0.9932063537122104
ryeordie nigga want pussy aint giving lie dilemma thats cool,1,1,0.9857656324336522
text ya bitch like ya man suck meet da birkin store tell em get band,1,1,0.9936408488336652
charlie fukin around austin every week somebody getting kicked team,1,0,0.0721674718137287
rikkilovee stephyrae theonemissluu gabrielaangela let hangout monday nigs,1,0,0.4419705129910758
used think bitch bad moe,1,1,0.9299167821946982
rt thenudesgod real nigga rule u drop blunt u gotta pas bitch u dont even get hit,1,1,0.9882370990206433
dopeboypollo wassup pussy,1,1,0.989595816903283
like bitch loaded,1,1,0.99989061589324
gas always cheaper ghetto,0,0,0.19472189302523918
show trash rt ibskeealii longlive rt shinylipz queen latifah show,0,0,0.1331240997793359
rt xojack definitely tell who whore bitch wear slightly warm,1,1,0.9021430048286422
yall im mad wasted calorie honey bun ho dry hell,1,1,0.5149273564640017
check hoe check,1,1,0.7894847325758991
thefunnyvine red neck ice bucket challenge httpstcocagpniofd must sip redneck,0,0,0.10349848518192709
rt dxpperjay asshole know referring girl bitch doesnt make dick bigger right,1,1,0.9900893751489239
rt miilkkk lil wayne said give bitch ya heart rather purse httptcobpbibkatx,1,1,0.9364091324349815
ima side bitch time time stay place,1,1,0.9269897721450635
rt dadonherself nigga fuck pretty girl w head right ho got pair good panty,1,1,0.9899436460389001
rt hbcufessions got bomb dick alpha q kappa iota amptwo professor month im hoei say,1,1,0.7200129889643823
shawnirwin okay closet fag,1,1,0.9420917679463351
rt ripalmighty tonyjohns stupid bitch cant handle john,1,1,0.9521142203843127
joshkline thats nig nog,1,1,0.8207293570819383
rt kyannesmith rahshauna arent bitch,1,1,0.995683803746568
want thingamabob got twenty bitch,1,1,0.9999308845970022
rt luvpug dont rt cat tweet youre big pussy,1,1,0.9876719357632289
shrug maybe canadian bitch thing,1,1,0.8836893404938843
rt frankthetank might couple cotton picker spur play unselfish white man basketball,1,0,0.4038644987220203
victorb khshan yea dont live guess still got roof arent fixed charlie jeanne,0,0,0.24047315733352287
well jhud giving bae got home work ima throw pussy httptcokbsxamddg httptcoeszjsuqyiq,1,1,0.954820248088612
tyg italianmontana fun losing tonight bitch,1,1,0.8565931290018683
confess im autistic something thought aerosmith dreamon ledzeppelin like yesterday retarded,0,1,0.8373236074961901
wait day get probation know bitch gonna moon im gonna come back earth,1,1,0.9539896288859535
kendracae bitch aint shit hoe trick,1,1,0.9997254592017766
let bitch bitch n hoe hoe,1,1,0.9999599828338883
intheovenjews slavecatcher marylene hang ovenjew lot common people waste time nigs jew r r problem,1,1,0.639882572175275
rt worldstarfunny see bitch nigga subtweet httptcoeclojovwg,1,1,0.9918396547312278
rt buckmse whiteponyjr ivanrabago drink beurs kid plus ur faggot anyways,1,1,0.7389075861143233
retard,1,1,0.9104978018422734
kicking niccas tf outcha mention like httptcobelunzglt,1,1,0.8963348973466526
gwb appointee go activist judge slant oh wait already exposed completely farcical gwb appointee,0,0,0.1646485571507874
rt yungfree mannn let bosh hoe as hit,1,1,0.8770059806348867
rt themav day people find littlest dumbest thing bitch pathetic,1,1,0.8640652162677828
bust nicca headsmack hoe shoot club rt yesyes darealquitam vonshayeb,1,1,0.9470570915402883
kaetlin bitch,1,1,0.9999999999997478
sonoma county cannot handle gutto style straight north bay pussy forever,1,1,0.7333200999443791
david bitch,1,1,0.9999999999997478
rt yepillposts dollar every time died flappy bird httptcopjqsbtel,0,0,0.0589224729492248
produced yung jewros bouta drop dis hoe httptcowzymxoljnt,1,1,0.7864066503043624
rt causewereguys bitch talk boyfriend httptcokeejvwbgbr,1,1,0.9346016081258302
rt ibekoolz rough face hoe kidswho u self esteem issuesmore kid secured love,1,1,0.9215247067101445
shit sooooooooooooo trash,1,1,0.9007568891540237
even make dress strap amp cover as u tit amp big as settle trash bag,1,0,0.10061881537771201
yall hoe got nothing better gossip play telephone,1,1,0.9404088826992087
beautifulkeezy bitch lying messy yes,1,1,0.943461179934791
rt luckylancej life bitch youve got go kick as drmayaangelou,1,1,0.9664081572160863
cant get smoke unless bitch struggle girl doesnt actuality great thing,1,1,0.8448082269474182
rachelrobbins realest bitch rt,1,1,0.9782924363219516
dumb bitch one thing thatll never become extinct,1,1,0.9310740700064503
thats hoe shit doe,1,1,0.9878521078674101
fear queer httpstcogsmmkwzhc,1,1,0.5853312615755779
eat pussy mad eat pussy sad eat pussy sleep eat pussy horny eat pussy,1,1,0.9940358303876892
rt androgyneadvent verballyabrupt yall got gay hoe,1,1,0.9925450076333311
say shit like wow uncalled youre really bitch attitude,1,1,0.989575567197238
bitch aint shit hoe trick,1,1,0.9997254592017766
bitch said lorde rock,1,1,0.9905018061508655
army female bitch everything,1,1,0.9101915551185044
rt beautifulkeezy ion understanding hoe drop yall nut bitch as cant hear mouse piss,1,1,0.9893288723709356
tmaccgfg voiceofdstreetz tmaccgfg tizzimarie slush hoe nasty anyway famthem hoe taste like med,1,1,0.989266539345636
time thinking bitch u gonna give pussy,1,1,0.9969515807420821
austing one keeping faggot,1,1,0.9131240374602249
pornandroidiphoneipadsexxxx handjob hand job cum rubber pussy httptcozgcnmrkla,1,1,0.9555223796528468
walked wit new bitch got nigga mad know,1,1,0.9912971492943456
nike dc trash,0,0,0.08764043986655558
slowdollaz photoshop nig,1,1,0.9264602847837782
marcosharkhoes hoe im work til like,1,1,0.9607374359254033
rt beauutifulnae dont trust bitch,1,1,0.9796331503539585
miss britt god damn bitch real nigga baby,1,1,0.9929263083661153
master tolife gabrielastarr could u bitch potent,1,1,0.9644235195133303
anastasiapacana iheinz stfu think ugly hard look get fuck chat faggot block oct th,1,1,0.9954059639572149
jonica look like hoe th superior,1,1,0.9563526420991526
bitch tryna wash shit low lol funny af,1,1,0.9946788236657234
rt darksklndrake yall hoe instagram rate httptcouujeaxzbyw,1,1,0.9728344456761618
ima beast dese nigga food ima jus eat dat dat pussy bad big poppa gon beat dat,1,1,0.9699286369930329
feelins hoe aint main thang niggahs thang niggahs gangbang httptcopcfcynofu,1,1,0.8007099486065976
rt vickybeanmr girl go talk hoe game strong,1,1,0.8877524561738583
got act like cuffing bitch get as lame forreal real nigga let bitch know jump,1,1,0.9988404612611218
need real loyal as bitch,1,1,0.9987598073868225
louievree tehreelhov dat bitch tampon,1,1,0.9721286896251498
jalendgaf courtniclark pressure hoe,1,1,0.9999996084828259
austinz wait see fucking cunt as mine,1,1,0.9656688538405539
yes love sex told yo bitch rubber,1,1,0.9889399637163175
rt luccixo bitch start looking bae httptcooagddfqh,1,1,0.9896816734353033
rt bestvinefights finally see white kid called nigger call duty httpstcoxdkmyp,1,1,0.85514766058951
bij vraag wat naam van de engels de doodsdacht eerst robertikisraeluhm iets met gargamelhoe heet die kat ook al weeroja azrael,1,0,0.05244801650492086
sarayeagley caffenate bitch dont know use daves coffee maker struggle cleadventures,1,1,0.8988670169163548
beyondtomcat youd like wouldnt fag,1,1,0.8432053622483924
haha bitch as gucci,1,1,0.9572979047319645
justfemaie cheatingadvice fuck summer bitch,1,1,0.999856947749033
rt prince together dont like bitch dont like bitch either httptcofrerrgsm,1,1,0.997534350545704
wanna experience late amp early pussy,1,1,0.908263217991195
bryce happened going fishing bitch,1,1,0.9861647662852997
chalecarlo stay talking defending fuckboy as boyfriend go suck youre faggot,1,1,0.9455788794511906
rt tootiedee ion want pussy come wit hair,1,1,0.9748247922820817
jacobryanbruhn kiss nut bitch,1,1,0.9840860907871748
kyle im hungry quit talking let go hoe,1,1,0.9494462864201854
kevinthegee ok wanted know bitch youre im,1,1,0.9728756429829193
main bitch httptcouuecuabqv,1,1,0.984362814048129
rt southsidevic girl embrrased pussy fart embrace shit make cheek clap finna beatbox,1,1,0.979087336146251
dont wife bitch night catching body might alright,1,1,0.9137896139275719
damn justdome amp nigger music waking whole school morning,1,1,0.9035727290887022
rt theironsheik justin bieber win oscar suck ball dead dog midget dick son bitch,1,1,0.936848536268631
rt michaelho ohio inmate sum lebronjames return mean cleveland httptcoamtzqoel httptcobmrzfwstva leb,0,0,0.15677317242326827
rt thehighestpeak ya lil dumb as bitch ian fwy,1,1,0.998215984101303
rt alaysiamichelle wanna get filthy rich amp nice big house full bad bitch could fuck anytime want,1,1,0.9915802171361016
codeinequeeeen im tired corny vine ugly face stupid voice nigga httptcomstruehtdjniggah shes sexy,1,1,0.920501712765254
rt menstruai rt ur sassy as bitch,1,1,0.9994024212934436
rt landontours nice baby bump bitch,1,1,0.9461253493371784
cullenbunn maybe baylee ann tater pud nurse fester charlie chainsaw amp mama rot team next time punishermaxd,0,0,0.11055948605488491
sight rt michydoe bitch bet see street coreywhitejr trash as nigga,1,1,0.966045127692956
rt zachdorsey trash worth,0,0,0.040936246374328196
girl watch hoe always something say bout man bc main one tryin fuck behind back,1,1,0.9810982743496941
hot isi social medium photo laughing jihadis get baby kick severed head warning graphic httptcopmisiva tcot pjnet,0,0,0.26991005800311324
rt rudebwoyroscoe behind every real bitch there bitch as nigga wrong made strong,1,1,0.9981321848016036
playlist go something like smoke track nigga reggaetonbachata bitch slow jam lucky lady,1,1,0.9868977413775892
bitch aint real,1,1,0.999542529929614
thesweetest shit euro would call typical american fat fuck go eat fast food time dumb bitch,1,1,0.9966741614892457
